seed,case,ospa_mean,ospa_loc_mean,ospa_card_mean,ospa_assign_mean,card_err_mean,fragmentation_count,id_switches,false_confirm_ratio,median_track_life,mean_track_life,peak_confirmed,ospa_rmse,pos_rmse
1004,Field-A,83.118020,18.733811,37.497650,60.669312,0.972028,6.000000,6.000000,0.153846,50.000000,145.538462,6.000000,85.437362,44.645216
1005,Field-A,88.304264,50.094915,54.913145,32.150463,1.529138,4.000000,4.000000,0.000000,96.000000,191.666667,4.000000,91.047297,52.465323
1006,Field-A,87.415295,41.718883,45.061697,48.258321,1.074592,5.000000,5.000000,0.000000,92.000000,168.777778,6.000000,90.014046,50.557657
1007,Field-A,90.431596,47.783667,63.584197,22.708141,1.892774,4.000000,4.000000,0.125000,35.500000,131.500000,5.000000,91.744187,52.753728
1008,Field-A,82.083913,50.094224,51.072809,19.299202,1.298368,6.000000,6.000000,0.000000,35.500000,141.500000,5.000000,83.395844,38.386865
1009,Field-A,85.673160,18.997154,39.590466,62.188130,0.934732,5.000000,5.000000,0.000000,92.000000,170.000000,6.000000,88.392891,50.981757
1010,Field-A,90.212059,52.787624,36.287019,48.810458,0.967366,5.000000,5.000000,0.307692,42.000000,155.076923,7.000000,92.012231,52.538111
1011,Field-A,83.715030,19.014190,27.492103,65.208275,0.659674,3.000000,3.000000,0.111111,257.000000,214.444444,6.000000,86.198403,47.613958
1012,Field-A,83.310908,56.722729,49.307298,17.178622,1.284382,4.000000,4.000000,0.000000,188.500000,222.166667,4.000000,86.853080,57.408386
1013,Field-A,86.223787,37.230810,38.556681,56.587506,0.930070,4.000000,4.000000,0.125000,172.000000,198.000000,5.000000,88.655716,57.236663
1014,Field-A,82.790989,36.903067,51.004663,36.595018,1.303030,3.000000,3.000000,0.000000,47.000000,194.000000,6.000000,84.998537,49.579841
1015,Field-A,92.404212,12.184110,57.977507,58.143397,1.836830,3.000000,3.000000,0.142857,45.000000,134.285714,5.000000,93.656317,50.803261
1016,Field-A,87.837704,49.556399,62.181567,4.957096,2.289044,3.000000,3.000000,0.000000,40.000000,99.714286,5.000000,91.779933,44.741992
1017,Field-A,89.975059,29.261229,48.251711,58.389612,1.303030,3.000000,3.000000,0.125000,41.500000,176.875000,5.000000,92.609773,58.285971
1018,Field-A,81.430316,23.426433,37.424865,57.960429,0.836830,8.000000,8.000000,0.090909,40.000000,149.727273,6.000000,84.279499,55.492570
1019,Field-A,91.620037,24.494858,63.159511,51.770326,1.867133,2.000000,2.000000,0.142857,49.000000,158.857143,6.000000,92.857153,51.849920
1020,Field-A,90.713776,33.004266,51.767582,54.179665,1.393939,3.000000,3.000000,0.125000,36.500000,175.875000,4.000000,92.302262,60.376089
1021,Field-A,89.561942,32.138905,43.183311,61.621959,1.046620,4.000000,4.000000,0.222222,93.000000,176.777778,6.000000,91.824605,58.085811
1022,Field-A,79.952101,33.111912,36.836568,47.032912,0.990676,5.000000,5.000000,0.250000,114.000000,176.416667,7.000000,83.761366,42.343019
1023,Field-A,91.937454,53.943485,53.776478,40.693571,1.344988,4.000000,4.000000,0.000000,43.000000,177.142857,4.000000,93.423130,59.133680
1024,Field-A,91.801635,28.466704,56.922990,56.222227,1.449883,5.000000,5.000000,0.000000,37.000000,125.200000,5.000000,93.126286,50.022886
1025,Field-A,90.097336,31.400420,50.860707,57.133033,1.319347,3.000000,3.000000,0.222222,38.000000,162.000000,5.000000,91.985913,65.066859
